"Mar 7, 2019 @ 14:10", 1011.55,
"Mar 7, 2019 @ 14:16", 1011.31,
"Mar 7, 2019 @ 15:08", 1011.31,
"Mar 7, 2019 @ 16:18", 1010.45,
"Mar 7, 2019 @ 17:55", 1008.66,
"Mar 7, 2019 @ 19:41", 1008.66,
"Mar 7, 2019 @ 20:07", 1008.97,
"Mar 7, 2019 @ 20:52", 1008.69,
"Mar 7, 2019 @ 22:00", 1009.06,
"Mar 8, 2019 @ 12:51", 1003.94,
"Mar 8, 2019 @ 13:58", 1003.94,
"Mar 8, 2019 @ 15:41", 1003.14,
"Mar 8, 2019 @ 16:31", 1002.66,
"Mar 8, 2019 @ 18:31", 1002.65,
"Mar 8, 2019 @ 21:45", 1003.25,
"Mar 9, 2019 @ 17:39", 1003.30,
"Mar 9, 2019 @ 18:04", 995.11,
"Mar 9, 2019 @ 18:33", 995.32,
"Mar 9, 2019 @ 23:53", 1002.11,
"Mar 10, 2019 @ 18:36", 1002.12,
"Mar 11, 2019 @ 11:04", 1013.20,
"Mar 11, 2019 @ 22:37", 1017.34,
"Mar 12, 2019 @ 10:32", 1017.34,
"Mar 12, 2019 @ 10:37", 1016.85,
"Mar 12, 2019 @ 12:27", 1015.90,
"Mar 12, 2019 @ 20:55", 1009.74,
"Mar 13, 2019 @ 00:28", 1009.74,
"Mar 13, 2019 @ 10:01", 1002.10,
"Mar 13, 2019 @ 12:19", 1002.10,
"Mar 13, 2019 @ 14:09", 999.85,
"Mar 13, 2019 @ 14:28", 999.85,
"Mar 13, 2019 @ 17:07", 1000.05,
"Mar 14, 2019 @ 08:16", 995.32,
"Mar 14, 2019 @ 17:45", 999.82,
"Mar 14, 2019 @ 20:50", 999.82,
"Mar 15, 2019 @ 07:19", 1003.80,
"Mar 15, 2019 @ 19:37", 1015.26,
"Mar 16, 2019 @ 01:17", 1015.27,
"Mar 16, 2019 @ 18:01", 1017.18,
"Mar 16, 2019 @ 18:26", 1017.15,
"Mar 16, 2019 @ 22:20", 1017.54,
"Mar 17, 2019 @ 09:48", 1017.54,
"Mar 17, 2019 @ 10:12", 1017.78,
"Mar 17, 2019 @ 13:16", 1016.04,
"Mar 17, 2019 @ 18:17", 1016.04,
"Mar 17, 2019 @ 21:38", 1013.59,
"Mar 18, 2019 @ 10:07", 1014.36,
"Mar 18, 2019 @ 15:14", 1017.51,
"Mar 18, 2019 @ 17:20", 1017.51,
"Mar 19, 2019 @ 07:39", 1019.41,
"Mar 19, 2019 @ 07:49", 1019.56,
"Mar 19, 2019 @ 07:59", 1019.67,
"Mar 19, 2019 @ 08:09", 1019.77,
"Mar 19, 2019 @ 08:19", 1019.86,
"Mar 19, 2019 @ 08:26", 1019.93,
"Mar 19, 2019 @ 08:34", 1020.02,
"Mar 19, 2019 @ 10:54", 1020.02,
"Mar 19, 2019 @ 11:23", 1020.17,
"Mar 19, 2019 @ 11:55", 1020.18,
"Mar 19, 2019 @ 12:00", 1019.98,
"Mar 19, 2019 @ 12:05", 1019.77,
"Mar 19, 2019 @ 12:11", 1019.63,
"Mar 19, 2019 @ 12:19", 1019.46,
"Mar 19, 2019 @ 12:24", 1019.56,
"Mar 19, 2019 @ 12:30", 1019.37,
"Mar 19, 2019 @ 12:35", 1019.36,
"Mar 19, 2019 @ 12:40", 1019.26,
"Mar 19, 2019 @ 12:46", 1019.17,
"Mar 19, 2019 @ 12:54", 1019.08,
"Mar 19, 2019 @ 12:59", 1019.00,
"Mar 19, 2019 @ 13:04", 1018.96,
"Mar 19, 2019 @ 13:10", 1018.77,
"Mar 19, 2019 @ 13:15", 1018.59,
"Mar 19, 2019 @ 13:20", 1018.51,
"Mar 19, 2019 @ 13:26", 1018.43,
"Mar 19, 2019 @ 13:34", 1018.39,
"Mar 19, 2019 @ 13:39", 1018.27,
"Mar 19, 2019 @ 13:45", 1018.26,
"Mar 19, 2019 @ 13:50", 1018.13,
"Mar 19, 2019 @ 14:00", 1017.83,
